topic,question_text,answer,difficulty,hints,explanation
PMS,A PM is prohibited from Pledging the client's securities,Pledging,Hard,Using as collateral for a loan.,Securities must remain unencumbered for the client's benefit. [cite: 1]
PMS,"To meet any shortfall of funds, the PMS must borrow from a Commercial bank using its own sources",Commercial bank,Medium,A traditional lending institution.,"Borrowing for liquidity must be done at the PM's own capacity, not the client's. [cite: 1, 3]"
PMS,"In a discretionary portfolio agreement, a PM cannot invest in Unlisted shares.",Unlisted,Medium,Not traded on a public exchange,SEBI prohibits the use of discretionary power to buy unlisted shares for transparency and liquidity reasons. [cite: 1]
PMS,The bank account containing client funds is managed and maintained by the PMS firm,PMS firm,Medium,The management company.,"While the money belongs to the client, the firm is the designated manager of the account. [cite: 1]"
PMS,"Regulation 27 of SEBI (Portfolio Managers) Regulations, 2020 deals with the maintenance of records for investment rationale",27,Hard,A number between 20 and 30.,This specific regulation mandates that PMs document why they made specific investment choices. [cite: 2]
PMS,Portfolio managers must ensure all investments align with the client's Investment objectives and risk profiles.,Investment objectives,Medium,What the client wants to achieve,Strategy must match the goals and risk tolerance agreed upon by the client. [cite: 2]
PMS,Custom benchmarks are needed when standard market indices do not fit a manager's style,Custom,Medium,Tailor-made or personalized.,"Custom benchmarks provide a more relevant yardstick for unique strategies. [cite: 2, 3]"
PMS,"While more accurate, custom benchmarks are much more Expensive to create and maintain.",Expensive,Medium,High cost,"The data and calculation requirements for custom indices often lead to higher operational costs. [cite: 2, 3]"
PMS,Operating expenses (excluding brokerage) for PMS shall not exceed 0.50% per annum of average daily AUM.,0.50%,Hard,A decimal percentage.,"SEBI limits these extra charges to protect investor returns. [cite: 2, 3]"
PMS,PMS fees and expenses are calculated based on the client's Average daily Asset under Management,Average daily,Hard,The mean value over the period,This method provides a fairer representation of the value managed throughout the year. [cite: 2]
PMS,Maintaining records of investment rationale under Regulation 27 ensures Transparency in the manager's decision-making process,Transparency,Medium,The quality of being easy to see through or understand,SEBI mandates these records so that regulators and clients can verify that investment choices were logical. [cite: 2]
PMS,A sub-broker must enter into a Tripartite agreement with the client and the main broker.,Tripartite,Medium,An agreement involving three parties.,This protects all three parties by defining their respective rights and obligations. [cite: 10]
PMS,The minimum net worth required for a Portfolio Manager is Rs _____ crores.,5,easy,capital,Revised net worth requirement is 5 Cr.
PMS,A Portfolio Manager must appoint a _____ to keep custody of client securities.,Custodian,easy,safekeeping,Custodian is mandatory for PMS.
PMS,Portfolio managers can offer _____ or non-discretionary services.,discretionary,easy,types,Two main service types.
PMS,In discretionary PMS the _____ takes investment decisions.,portfolio manager,easy,decision,Manager decides for client.
PMS,In non-discretionary PMS the _____ takes investment decisions.,client,easy,decision,Client decides, PM executes.
PMS,Advisory services involve providing _____ investment advice.,non-binding,medium,nature,Advice is not binding.
PMS,PMS client agreement must include the _____ schedule.,fee,easy,costs,Fees must be transparent.
PMS,Portfolio Managers must segregate each client's _____ and securities.,funds,easy,separation,Strict segregation required.
PMS,The agreement between PM and client must be in _____.,writing,easy,legal,Written agreement mandatory.
PMS,Performance of PMS is reported to the client at least every _____ months.,three,medium,reporting,Quarterly reporting.
PMS,Portfolio Managers cannot accept cash from clients in excess of Rs _____.,0,easy,restriction,No cash accepted usually (or strict limits, practically nil).
PMS,The disclosure document must be filed with _____.,SEBI,easy,regulator,Filed with SEBI.
PMS,The disclosure document must be updated every _____ months.,six,medium,update,Half-yearly update.
PMS,Client funds must be kept in a separate _____ account.,bank,easy,money,Separate bank account.
PMS,Portfolio Managers cannot lend client securities for _____ lending.,margin,medium,restriction,Cannot use for margin funding.
PMS,"Under Regulation 27, PMs must maintain rationale for _____ decisions.",investment,medium,compliance,Rationale recording.
PMS,Audit of PMS firm must be conducted by a _____ accountant.,chartered,easy,auditor,CA audit required.
PMS,Portfolio Managers must have at least _____ persons with relevant experience.,two,medium,staffing,Two key personnel.
PMS,Principal Officer is responsible for overall _____ of the firm.,compliance,medium,role,Compliance and operations.
PMS,Compliance Officer ensures adherence to _____ regulations.,SEBI,easy,role,Regulatory compliance.
PMS,PMS returns are calculated using _____ weighted rate of return.,time,hard,calculation,TWRR is standard.
PMS,High water mark principle applies to _____ fees.,performance,medium,fees,Performance fee calculation.
PMS,Setup fees are charged at the _____ of the contract.,beginning,easy,fees,Entry fee.
PMS,Exit load is charged if client redeems before a _____ period.,lock-in,easy,fees,Early exit penalty.
PMS,Portfolio Manager cannot guarantee any _____ return.,fixed,easy,risk,No guaranteed returns.
PMS,Derivatives can be used for _____ and portfolio balancing in PMS.,hedging,medium,usage,Hedging allowed.
PMS,PMS creates a _____ portfolio for high net worth individuals.,customized,easy,benefit,Tailored solutions.
PMS,Direct plan in PMS has no _____ cost.,distribution,easy,cost,No distributor commission.
PMS,Minimum investment in PMS is Rs _____ lakhs.,50,easy,minimum,Min ticket size 50L.
PMS,The phrase 'Portfolio Management Services' refers to professional management of _____.,assets,easy,definition,Asset management.
PMS,Risk _____ is critical before accepting a PMS client.,profiling,easy,process,Know your client risk.
PMS,Clients have access to the portfolio manager for _____.,interaction,medium,benefit,Direct access.
PMS,Transparency in PMS is generally _____ than mutual funds.,higher,medium,comparison,Holdings visible.
PMS,Taxation in PMS is at the _____ level.,investor,medium,tax,Not pass-through entity like MF.
PMS,Short term capital gains in equity PMS are taxed at _____ percent.,15,medium,tax,Equity tax rate.
PMS,Long term capital gains in equity PMS above 1L are taxed at _____ percent.,10,medium,tax,LTCG rule.
PMS,Dividend income in PMS is taxed in the hands of the _____.,investor,easy,tax,Taxed at marginal rate.
PMS,Power of Attorney (PoA) is given by client to _____.,portfolio manager,easy,legal,PoA for operations.
PMS,PoA allows PM to _____ bank and demat accounts.,operate,easy,legal,Operational rights.
PMS,PM cannot use PoA to _____ assets to self.,transfer,medium,restriction,No self-transfer.
PMS,Direct onboarding of clients is _____ permitted.,is,easy,sales,Direct sales allowed.
PMS,Distributors of PMS must follow the _____ of conduct.,code,easy,ethics,Code of conduct.
PMS,PMs must disclose _____ interests in recommended securities.,conflict,medium,ethics,Conflict of interest.
PMS,Soft dollar arrangements must be _____ in the disclosure document.,disclosed,hard,transparency,Soft dollar rules.
PMS,Firm-level performance data must be available on the _____.,website,medium,transparency,Public disclosure.
PMS,Investors can complain to SEBI via _____ system.,SCORES,easy,grievance,SCORES platform.
PMS,Accredited investors may have lower _____ thresholds.,minimum,hard,exemption,New AI rules.
MFD,Saving always _____ investing.,precedes,easy,order,Saving must happen before investing.
MFD,"The three key factors to evaluate investments are safety, liquidity and _____.",returns,easy,evaluation,Core investment factors.
MFD,The minimum amount required for investment is known as _____.,ticket size,easy,minimum,Ticket size definition.
MFD,An asset class groups investments with similar _____.,characteristics,easy,classification,Asset class meaning.
MFD,Real estate is considered a _____ asset.,illiquid,easy,liquidity,Real estate is not easily sellable.
MFD,Equity is also known as _____ capital.,risk,easy,nature,Equity involves higher risk.
MFD,Inflation erodes the _____ power of money.,purchasing,easy,value,Inflation effect.
MFD,Real rate of return is calculated after adjusting for taxes and _____.,inflation,easy,returns,Real return meaning.
MFD,A return ignoring taxes and inflation is called _____ return.,nominal,easy,definition,Nominal return.
MFD,Market risk cannot be eliminated through _____.,diversification,easy,systematic,Systematic risk.
MFD,Bond prices and interest rates have an _____ relationship.,inverse,easy,pricing,Interest rate effect.
MFD,Asset allocation means distributing money across different _____ classes.,asset,easy,allocation,Asset allocation meaning.
MFD,Risk profiling determines an investor’s risk _____.,appetite,easy,profile,Risk appetite assessment.
MFD,Strategic asset allocation is aligned with financial _____.,goals,easy,planning,Goal-based allocation.
MFD,Tactical asset allocation aims to improve risk-adjusted _____.,returns,easy,performance,Tactical objective.
MFD,A mutual fund is a professionally managed investment _____.,vehicle,easy,definition,MF definition.
MFD,A mutual fund is structured in the form of a _____.,trust,easy,structure,MF legal structure.
MFD,Fund and scheme are used _____ in the mutual fund industry.,interchangeably,easy,terminology,Common usage.
MFD,Every mutual fund scheme has a pre-announced investment _____.,objective,easy,planning,Scheme objective.
MFD,Mutual funds pass risk and return directly to the _____.,investors,easy,ownership,Pass-through vehicle.
MFD,Mutual funds are not _____ return products.,guaranteed,easy,disclaimer,No assured returns.
MFD,Open-ended schemes allow investors to enter or exit at _____ time.,any,easy,flexibility,Anytime entry-exit.
MFD,Close-ended schemes have a fixed _____.,maturity,easy,tenure,Fixed life.
MFD,Listing of close-ended schemes is _____ to provide liquidity.,compulsory,medium,exchange,Liquidity requirement.
MFD,Interval funds combine features of open-ended and _____ schemes.,close-ended,easy,hybrid,Interval fund structure.
MFD,The open period in an interval fund is called the _____ period.,transaction,medium,interval,Transaction window.
MFD,ETFs are traded throughout the day on the stock _____.,exchange,easy,trading,ETF trading.
MFD,A demat account is required to invest in _____.,ETFs,easy,requirement,ETF requirement.
MFD,Passive funds aim to replicate a market _____.,index,easy,tracking,Index tracking.
MFD,Passive funds generally have lower running _____.,costs,easy,expenses,Low expense ratio.
MFD,ELSS schemes have a statutory lock-in of _____ years.,three,easy,tax,ELSS lock-in.
MFD,Overnight funds invest in securities with maturity of _____ day.,one,easy,tenure,Overnight duration.
MFD,Liquid funds invest in securities up to _____ days maturity.,91,easy,duration,Liquid fund rule.
MFD,Corporate bond funds invest mainly in _____ rated bonds.,AA+,medium,credit,Credit quality.
MFD,Gilt funds invest in _____ securities.,government,easy,sovereign,G-Secs.
MFD,Aggressive hybrid funds invest predominantly in _____.,equity,easy,allocation,Equity-heavy hybrid.
MFD,Children’s funds have a minimum lock-in of _____ years.,five,easy,solution,Child fund rule.
MFD,NAV of open-ended schemes is disclosed on a _____ basis.,daily,easy,frequency,Daily NAV.
MFD,NAV of close-ended schemes is calculated at least once a _____.,week,medium,frequency,Weekly NAV.
MFD,KIM is a summary of SID and _____.,SAI,medium,documents,Key Information Memorandum.
MFD,Risk disclosure in SID is shown using the _____.,Riskometer,easy,indicator,Risk indicator.
MFD,SIP allows investors to invest at _____ intervals.,regular,easy,discipline,Systematic investment.
MFD,SWP provides _____ income to investors.,regular,easy,withdrawal,Systematic withdrawal.
MFD,Units are redeemed on _____ basis.,FIFO,medium,accounting,First-in-first-out.
MFD,PAN is compulsory except for _____ SIPs.,micro,medium,exemption,Micro SIP exemption.
MFD,Cash investment in mutual funds is allowed up to Rs _____ per year.,50000,medium,limit,Cash transaction limit.
MFD,Fund factsheets are published on a _____ basis.,monthly,easy,report,Monthly disclosure.
MFD,"Shares, debentures, and bank deposits are categorized as Financial assets.",Financial,Medium,Paper or digital investments,These are intangible investments representing a claim on future cash flows. [cite: 1]
MFD,"Gold, diamonds, and real estate are categorized as Physical assets.",Physical,Medium,"Tangible ""touchable"" items.","These are tangible items with intrinsic value. [cite: 1, 2]"
MFD,An NRI can open a Demat account with any Depository Participant in India,Depository Participant,Medium,DP,"NRIs have the same rights as residents to open these accounts through registered intermediaries. [cite: 1, 2]"
MFD,NRIs do NOT require permission from RBI to open a Demat account,RBI (Reserve Bank of India),Medium,India's central bank.,The process is simplified and does not require case-by-case approval from the central bank. [cite: 1]
MFD,Mutual Funds are required to buy and sell securities on a Delivery basis.,Delivery,Medium,Relates to actual transfer of securities.,SEBI regulations mandate that mutual funds must transact securities on a delivery basis. [cite: 4]
MFD,A mutual fund scheme cannot own more than 10 percent of a company's paid-up capital bearing voting rights.,10,Hard,It is a double-digit percentage.,This limit prevents a single mutual fund from exerting excessive control over a single company. [cite: 4]
MFD,Open-ended debt funds must maintain a minimum of 10 percent of their corpus in liquid assets.,10,Medium,A small percentage for liquidity.,This ensures the fund can meet sudden redemption requests. [cite: 4]
MFD,"The legal principle of Caveat Emptor means ""let the buyer beware.""",Caveat Emptor,Easy,A Latin legal term.,Investors are responsible for understanding their investments under this principle. [cite: 4]
MFD,The KIM is considered a summary of the Scheme Information Document (SID) and Statement of Additional Information (SAI).,KIM (Key Information Memorandum),Easy,Three-letter acronym.,Every application form must be accompanied by the KIM. [cite: 4]
MFD,NAV for Open-ended schemes must be disclosed at the end of each business day.,Open-ended,Easy,Funds that allow entry/exit anytime.,"Open-ended funds provide daily liquidity, requiring daily NAV updates. [cite: 4]"
MFD,"For closed-ended schemes, the NAV is calculated at least once a Week",Week,Medium,A unit of time.,"While listed on exchanges, the official NAV for closed-ended funds is required weekly. [cite: 4]"
MFD,AMFI introduced the KYD process to verify the correctness of information provided by ARN holders.,KYD (Know Your Distributor),Medium,Similar to KYC but for distributors.,This process streamlines and secures the distribution network. [cite: 4]
MFD,"Currently, mutual fund distributors can only earn commission in the form of Trail Commission",Trail Commission,Medium,Based on AUM over time.,Upfront commissions are no longer permitted; trail is the only mode. [cite: 4]
MFD,Dividends in a mutual fund can be paid ONLY out of Distributable Reserves,Distributable Reserves,Hard,Surplus funds.,Funds cannot pay dividends unless they have realized gains/surplus. [cite: 4]
MFD,The difference between the NAV and the re-purchase price is known as the Exit Load,Exit Load,Easy,A charge for exiting.,This is a fee charged when an investor redeems units before a certain period. [cite: 4]
MFD,NAV for liquid funds and debt funds must be calculated up to 4 decimal places.,4,Medium,More precise than equity.,High-value debt transactions require higher precision in pricing. [cite: 4]
MFD,A New Fund Offer (NFO) for schemes other than ELSS can remain open for a maximum of 15 days.,15,Medium,Just over two weeks.,SEBI limits the NFO period to ensure timely allotment. [cite: 4]
MFD,The Direct plan of a mutual fund has lower expense ratio because it excludes distribution expenses.,Direct,Easy,No distributor involved.,"Direct plans bypass commissions, leading to a lower TER. [cite: 5]"
MFD,"After a dividend is paid, the reduced NAV is called the Ex-dividend NAV.",Ex-dividend,Medium,"""Ex"" means excluding.",The NAV drops by the exact amount of the dividend paid out. [cite: 5]
MFD,"In a Bonus option, the fund allots new units to the investor for free.",Bonus,Medium,A reward of extra units.,"Total value remains same, but the number of units increases and NAV drops. [cite: 5]"
MFD,ASBA is a facility where NFO application money is blocked in the investor's bank account instead of being debited immediately,ASBA,Hard,Four-letter acronym.,This ensures the investor earns interest until units are allotted. [cite: 5]
MFD,"The total subscription through e-wallets is restricted to Rs. 50,000 per investor per financial year.","50,000",Medium,A round figure in thousands.,This limit applies to the umbrella of cash and e-wallet transactions. [cite: 5]
MFD,"Providing a PAN is compulsory for all mutual fund investments, with an exception for Micro-SIPs.",PAN (Permanent Account Number),Easy,Tax ID.,PAN is the primary identifier for financial transactions. [cite: 5]
MFD,SIP is an approach where an investor invests constant amounts at regular intervals.,SIP (Systematic Investment Plan),Easy,Three-letter acronym.,SIPs help in rupee-cost averaging. [cite: 5]
MFD,STP allows an investor to transfer a fixed amount from one scheme to another within the same mutual fund.,STP (Systematic Transfer Plan),Medium,Three-letter acronym.,This is often used to move funds from debt to equity gradually. [cite: 5]
MFD,The Riskometer is a pictorial meter that categorizes scheme risk into five levels.,Riskometer,Easy,Visual risk tool.,It must be evaluated on a monthly basis. [cite: 6]
MFD,ETFs are passive funds that are traded on stock exchanges like individual shares.,ETFs (Exchange Traded Funds),Easy,Three-letter acronym.,"They mirror an index but provide real-time trading. [cite: 6, 8]"
MFD,A liquid scheme is suitable for parking funds for very short periods of up to 91 days.,91,Medium,A specific number.,Liquid funds invest in securities with this maximum maturity. [cite: 6]
MFD,Mutual Fund is a professionally managed investment vehicle that mobilizes money from investors into a trust.,Mutual Fund,Easy,Two-word name.,It acts as a pass-through vehicle for risks and returns. [cite: 7]
MFD,Open-ended funds allow investors to enter or exit at any time after the NFO.,Open-ended,Easy,Open for business.,These funds have a variable unit capital. [cite: 7]
MFD,For Close-ended schemes listing on a stock exchange is compulsory to provide liquidity.,Close-ended,Medium,Fixed maturity funds.,"Since they don't buy back units daily, exchanges provide the exit route. [cite: 7]"
MFD,A Multi-Cap Fund must invest at least 75 percent of its total assets in equity and equity-related instruments.,75,Medium,A high percentage.,This ensures it remains primarily an equity-focused fund. [cite: 7]
MFD,An ELSS (Equity Linked Savings Scheme) has a statutory lock-in period of 3 years.,3,Easy,A single digit.,It is the shortest lock-in among Tax-saving instruments. [cite: 7]
MFD,Gilt Funds invest in government securities across various maturities.,Gilt,Medium,Named after a gold-edged security.,These funds have no credit risk as they invest in sovereign debt. [cite: 7]
MFD,A Aggressive Hybrid Fund invests 65% to 80% in equity and 20% to 35% in debt.,Aggressive,Medium,Opposite of conservative.,This category seeks higher growth through equity exposure. [cite: 7]
MFD,"A Retirement Fund has a lock-in period of 5 years or until retirement age, whichever is earlier.",5,Medium,A single digit.,This encourages long-term goal-based investing. [cite: 7]
MFD,Hybrid funds invest in a mix of equity and _____.,debt,easy, definition,Mix of asset classes.
MFD,Index funds consist of stocks that _____ an index.,mimic,easy,strategy,Passive tracking.
MFD,Expense ratio includes management fees and _____ expenses.,operating,medium,costs,Total expenses.
MFD,Mutual funds are regulated by _____.,SEBI,easy,regulator,Market regulator.
MFD,AMFI stands for Association of _____ _____ in India.,Mutual Funds,easy,industry,Industry body.
MFD,NFO stands for _____ _____ Offer.,New Fund,easy,launch,New scheme launch.
MFD,AUM stands for _____ Under Management.,Assets,easy,metric,Total assets.
MFD,CAGR stands for Compounded _____ Growth Rate.,Annual,medium,returns,Return metric.
MFD,Dividend yield funds invest in high _____ paying stocks.,dividend,easy,strategy,Income strategy.
MFD,Sector funds invest in a specific _____ of the economy.,sector,easy,strategy,Thematic/Sector.
MFD,Tax Saving funds are also called _____.,ELSS,easy,tax,Section 80C.
MFD,Exit load is not charged for _____ funds usually.,liquid,medium,fees,Liquid/Overnight funds.
MFD,TER limit for equity funds decreases as _____ increases.,AUM,hard,fees,Slab system.
MFD,Mutual fund units are held in _____ form.,demat,easy,holding,Electronic form (or SoA).
MFD,KYC is _____ for mutual fund investment.,mandatory,easy,compliance,Know Your Customer.
MFD,Direct plans have a separate _____ from regular plans.,NAV,medium,pricing,Different NAV due to expense.
MFD,Arbitrage funds are treated as _____ funds for taxation.,equity,medium,tax,Tax benefit.
Equity Derivatives,An option is a contract that gives the right but not the _____ to buy or sell.,obligation,easy,rights,Options give rights without obligation.
Equity Derivatives,The buyer of an option pays the option _____.,premium,easy,cost,Buyer pays premium upfront.
Equity Derivatives,The seller of an option receives premium and has the _____ to perform.,obligation,easy,duty,Option writer is obligated.
Equity Derivatives,Intrinsic value of a call option is calculated as spot price minus _____.,strike price,easy,formula,Call intrinsic value formula.
Equity Derivatives,An in-the-money option has _____ intrinsic value.,positive,easy,value,ITM options have value.
Equity Derivatives,A call option is in-the-money when strike price is _____ than spot price.,lower,easy,ITM,ITM call condition.
Equity Derivatives,A trader bearish on the market may use a bearish vertical spread using _____.,put,medium,strategy,Bearish put spread.
Equity Derivatives,Hedging intention is confirmed when there exists a related _____ position.,commercial,medium,risk,Commercial exposure check.
Equity Derivatives,Net worth requirement of a clearing member is _____ than non-clearing member.,higher,easy,membership,Higher capital needed.
Equity Derivatives,Dow Jones Industrial Average consists of _____ stocks.,30,easy,index,DJIA composition.
Equity Derivatives,S&P 500 is considered a _____ index than Dow Jones.,broader,easy,comparison,Covers more stocks.
Equity Derivatives,Entire contribution of equity shares is not allowed as _____ assets for margin.,liquid,medium,margin,Liquid asset definition.
Equity Derivatives,Margins in derivative trading depend on volatility and _____ movement.,price,easy,risk,Margin determinants.
Equity Derivatives,Declining futures price with rising open interest indicates a _____ trend.,bearish,easy,market,Bearish signal.
Equity Derivatives,ETFs can be traded on exchange on an _____ basis.,intraday,easy,trading,Intraday trading allowed.
Equity Derivatives,A trading member can trade on behalf of clients or on own _____.,account,easy,roles,Proprietary trading.
Equity Derivatives,A swap is an agreement to exchange _____ flows in the future.,cash,easy,definition,Swap definition.
Equity Derivatives,High volatility generally causes the bid-ask spread to _____.,widen,easy,liquidity,Spread behavior.
Equity Derivatives,Derivative income on recognised exchanges is treated as _____ income.,non-speculative,medium,tax,Finance Act 2005.
Equity Derivatives,Natural gas future is a derivative on _____ resources.,energy,easy,commodity,Energy derivative.
Equity Derivatives,Risk management focuses on maintaining _____ in derivative markets.,stability,easy,objective,Market stability.
Equity Derivatives,Initial margin is shown under _____ assets in balance sheet.,current,hard,accounting,Accounting treatment.
Equity Derivatives,American options are valued higher due to early _____ feature.,exercise,easy,rights,Early exercise benefit.
Equity Derivatives,Stock options in India are settled by _____ delivery.,physical,medium,settlement,Physical settlement.
Equity Derivatives,Index options are settled in _____.,cash,easy,settlement,Cash settlement.
Equity Derivatives,Equity shares deposited as margin are marked to market on a _____ basis.,regular,medium,valuation,MTM valuation.
Equity Derivatives,Indian derivative market follows a _____ driven trading system.,order,easy,market,Order-driven market.
Equity Derivatives,Clearing corporations maintain a Core Settlement _____ Fund.,Guarantee,medium,safety,Settlement protection.
Equity Derivatives,Outstanding liability of a member includes all client open _____.,positions,medium,risk,Cannot be netted.
Equity Derivatives,Debit balance in MTM margin account represents anticipated _____.,loss,easy,prudence,Anticipated loss.
Equity Derivatives,Higher margins restrict derivative trading to financially _____ traders.,strong,easy,risk,Risk control.
Equity Derivatives,Forward contracts are _____ contracts.,customized,easy,OTC,Negotiated contracts.
Equity Derivatives,UCC stands for Unique _____ Code.,Client,easy,onboarding,Client identification.
Equity Derivatives,Speculators _____ risk while hedgers reduce it.,take,easy,roles,Market participants.
Equity Derivatives,A limit order executes only at the specified or _____ price.,better,easy,orders,Limit order rule.
Equity Derivatives,A professional clearing member is not a _____ member.,trading,medium,membership,Clearing-only role.
Equity Derivatives,"Option price depends on spot price, strike price, volatility, time and _____ rates.",interest,hard,pricing,Option pricing factors.
Equity Derivatives,Covered call strategy restricts upside but leaves _____ loss potential.,unlimited,medium,risk,Covered call risk.
Equity Derivatives,Bid price is the price at which market is prepared to _____.,buy,easy,quotes,Bid definition.
Equity Derivatives,Ask price is the price at which market is prepared to _____.,sell,easy,quotes,Ask definition.
Equity Derivatives,Initial margin is based on VaR while MTM is calculated on _____ basis.,daily,easy,margin,MTM frequency.
Equity Derivatives,Immediate-or-cancel order cancels unmatched portion _____.,immediately,easy,IOC,Order behavior.
Equity Derivatives,Difference between spot and futures price is called _____.,basis,easy,pricing,Basis definition.
Equity Derivatives,Market maker provides _____ way quotes.,two,easy,liquidity,Bid and ask.
Equity Derivatives,Impact cost differs for the buyer and the _____.,seller,medium,liquidity,Impact cost asymmetry.
Equity Derivatives,Contract month refers to the _____ month of futures contract.,maturity,easy,expiry,Contract month meaning.
Equity Derivatives,Seller of a put option prefers the spot price to _____.,rise,medium,view,Bullish view.
Equity Derivatives,"If trading member reaches position limit, only _____ transactions are allowed.",squaring-off,hard,risk,Exposure reduction.
Equity Derivatives,"In India, all index and stock options are of European style.",European,Easy,Relates to exercise timing,"Unlike American options, European options can only be exercised on the expiration date. [cite: 8, 9]"
Equity Derivatives,Vega measures the sensitivity of an option premium to changes in the volatility of the underlying asset.,Vega,Medium,A Greek letter starting with V,"Vega is the ratio of change in premium relative to underlying asset volatility. [cite: 8, 10]"
Equity Derivatives,Theta is the measure of an options sensitivity to time decay.,Theta,Medium,"A Greek letter starting with ""T","Theta represents the change in option price for a one-day decrease in time to expiry. [cite: 8, 9]"
Equity Derivatives,"When the Strike price of a call option increases, the premium typically decreases.",Strike,Medium,"The ""set price"" in the contract","Higher strike prices lower the intrinsic value, thus lowering the premium. [cite: 8]"
